"","section","age","d18c","sz","sz.sd"
"92","Fuxian",1203.37209302323,-9.597924530559,363.995055691397,244.175694394249
"93","Fuxian",1208.02325581393,-8.88653868774566,311.718561133002,198.367527710268
"94","Fuxian",1214.99999999997,-9.28006910076056,336.190055588581,217.12522876543
"95","Fuxian",1247.20699708454,-9.12133451601596,323.102764662649,210.381139565121
"96","Fuxian",1250.12244897959,-9.0505789622506,322.061093565961,206.282901603045
"97","Fuxian",1262.95043731778,-9.5889228997835,362.517749882551,240.868729304512
"98","Fuxian",1286.63157894734,-9.58276030873105,358.879751372239,237.07572806062
"99","Fuxian",1289.78947368419,-8.46901149144992,282.801526487839,172.126700875271
"100","Fuxian",1302.57894736839,-10.1491275992634,405.834135205906,280.205483006271
"101","Fuxian",1329.33333333327,-9.97851366820476,389.569542837289,268.482856485265
"102","Fuxian",1330.99999999994,-9.59683735378098,362.961219097202,235.05592958682
"103","Fuxian",1337.6666666666,-9.08765551528097,323.478409498658,207.08063282118
"104","Fuxian",1342.6666666666,-10.3490345419358,422.887122158717,303.085056870602
"105","Fuxian",1375.12499999993,-9.8484291653433,383.844890591809,262.496869606585
"106","Fuxian",1377.42187499993,-9.60870725817176,353.834174447693,238.084088713167
"107","Fuxian",1407.66666666659,-9.9988741131265,393.1077213625,270.582879785869
"108","Fuxian",1410.66666666659,-9.32122048288659,341.563708916999,218.582234830509
"109","Fuxian",1415.99999999992,-8.96052667274989,317.224778306205,200.165873711311
"110","Fuxian",1457.40909090889,-9.48912216199824,354.124528070378,231.382767932158
"111","Fuxian",1462.81818181798,-9.00684622481231,317.226431134532,204.114001724776
"112","Fuxian",1465.13636363616,-9.39306464812466,341.766357915482,229.67658765005
"113","Fuxian",1493.95652173902,-10.1523387443432,403.530090801254,276.376443636477
"114","Fuxian",1498.65217391293,-9.38753642059828,344.480853045627,224.030073652076
"115","Fuxian",1504.1304347825,-9.46425842398503,347.644483667945,230.926312299588
"116","Fuxian",1623.37499999976,-10.4509225379761,426.936279700823,303.904368782574
"117","Fuxian",1644.15662650591,-9.70325115489129,366.926595125711,243.213334855339
"118","Fuxian",1651.77710843362,-9.55691791783477,356.762238843606,236.519613287427
"119","Fuxian",1664.69879518061,-9.36271199092118,343.532863084331,223.550439425031
"120","Fuxian",1698.57876712324,-8.80506244131266,306.934868830645,191.829431593827
"121","Fuxian",1711.52397260269,-9.37503803040408,345.046013008965,227.730174568363
"122","Fuxian",1746.04687499991,-9.53012149784854,352.811215234243,229.878286702157
"123","Fuxian",1755.8906249999,-9.04599845420103,320.313990459031,205.891958650959
"124","Fuxian",1756.5937499999,-9.27448509729197,338.629225010161,218.845847150336
"125","Fuxian",1860.64814814796,-9.7845716530984,377.336077715469,255.570637387096
"126","Fuxian",1997.65354330704,-9.44262745382309,348.852777580395,228.043145822408
"127","Fuxian",2002.33070866138,-9.22518240347677,331.809750499098,217.854309042967
"128","Fuxian",2005.09448818894,-10.0021639051269,389.028345282651,270.334403442357
"129","Fuxian",2054.99999999995,-8.82655533128047,309.58472583754,192.905247423374
"130","Fuxian",2064.99999999995,-8.69244119052621,301.38039579196,184.708957432382
"131","Fuxian",2074.99999999996,-9.55683611746508,355.939403351597,238.205561808162
"132","Fuxian",2155.21367521368,-8.61374498764064,293.510223997001,178.36449554924
"133","Fuxian",2160.10256410257,-9.4989646163167,349.314649065429,235.368048732745
"134","Fuxian",2165.36752136753,-8.45970609742972,282.473940300663,170.900312498767
"135","Fuxian",2237.02941176472,-9.24938788260079,337.664532144456,218.046700177707
"136","Fuxian",2243.4117647059,-9.4034979728608,348.857203684818,226.021533353334
"137","Fuxian",2244.9,-10.046715970163,397.409148744558,273.840556524871
"138","Fuxian",2511.31868131873,-9.15059081933134,329.804369746929,215.769095339427
"139","Fuxian",2518.1,-9.2235559605582,333.131774101117,214.000540741796
"140","Fuxian",2527.80219780226,-10.2346928272476,408.206931588146,289.444671690217
"141","Fuxian",2534.6,-9.30079393039864,340.969795907295,222.426997270967
