"","section","age","d13c","d13o","d18c","temp","d13a","d13a.sd","d13s","d13s.sd","R","R.sd","Sz","Sz.sd","co2","co2.sd"
"38","Zhaojiachuan",1618.25,-5.68866868627924,-25.315,-9.21577162031087,17.3,-6.11225,0.0901849950564579,-15.4447950103962,0.347693354522272,0.813992674082207,0.0867954635799501,342.328965010926,222.608246113585,276.610849131468,185.545051446955
"39","Zhaojiachuan",1622.35,-5.44406264182601,-25.718,-8.69496488494326,17.3,-6.1609625,0.115866302262565,-15.2033932782855,0.350252939114511,0.912096371709612,0.0944097462037703,303.1269889191,192.321541454039,275.206022794892,180.300171127508
"40","Zhaojiachuan",1649.375,-5.47124581581852,-25.701,-8.3724696832337,17.3,-6.165625,0.129357386079548,-15.2319168897687,0.355284436726007,0.90465950755528,0.0935961305010302,283.719424284757,172.91934947217,255.726616741751,161.480568887258
"41","Zhaojiachuan",1656.25,-5.40829530762539,-25.617,-8.32383153030014,17.3,-6.33125,0.25781130050226,-15.1591893811507,0.35250884365018,0.92644429421707,0.0966066264916525,280.276054834993,169.772001971,258.055260098117,161.895879434962
"42","Zhaojiachuan",1663.125,-5.34797465807651,-25.706,-8.66961014846083,17.3,-6.371875,0.258585898042926,-15.0982809709917,0.350541989647148,0.953466416736817,0.0988925902350008,301.434372597762,190.060055081983,286.974126034526,185.176920318366
"43","Zhaojiachuan",1701.875,-5.88614689254553,-25.697,-8.76086173730482,17.3,-6.74708333333333,0.359536738966502,-15.6376882371575,0.357511197091719,0.874453590094347,0.0957889312374651,306.200610797246,196.33889564581,266.964746579965,176.693998668296
"44","Zhaojiachuan",1706.25,-5.78375703391771,-26.205,-8.81922973409883,17.3,-6.5925,0.359536738966502,-15.527395940825,0.350451150812459,0.939873524719498,0.0950891667109572,311.086058822809,197.859854034307,291.264113349226,191.043307201636
"45","Zhaojiachuan",1710.625,-5.2848920557351,-25.73,-8.80871771778823,17.3,-6.47083333333333,0.307354301526214,-15.038950323069,0.354185610817563,0.982765781935809,0.101286125433751,313.684161772195,200.35424084237,305.962828666465,201.408686745515
"46","Zhaojiachuan",1878,-5.39134802667866,-25.75,-8.64415384918527,17.3,-6.38116666666667,0.0921502396451938,-15.1419511427526,0.351632067791012,0.950252418168341,0.0986967136739345,300.87010007915,187.73583999097,284.619483115228,182.106080947879
"47","Zhaojiachuan",1900.2,-5.43563107478496,-25.74,-8.70976417979568,17.3,-6.77424999999999,0.177951304200522,-15.1905167506649,0.354245089669543,0.983717560684942,0.10362578338637,302.352996221924,190.458261636444,296.12608865449,192.978770646972
"48","Zhaojiachuan",1915,-5.72843017013974,-24.755,-8.78057523090502,17.3,-6.38125,0.189472953214964,-15.4793283717478,0.351216150429474,0.767968395951853,0.0888371799935159,309.332237181447,192.797371323305,236.01029479427,151.772836340158
"49","Zhaojiachuan",1997.71429,-5.64259915798743,-25.852,-9.18789911000226,17.3,-5.98428555000001,0.275801861245835,-15.3923151661111,0.35117090475324,0.869169297112515,0.0883575771263179,332.902271011536,218.081504698173,288.833450437902,193.17984672586
"50","Zhaojiachuan",2005.42857,-5.71880900835754,-25.766,-8.85813025842606,17.3,-5.993476165,0.183371208208923,-15.4734106916983,0.352835187920444,0.845274642921263,0.0873724882540277,311.15778109387,197.2898567199,262.807385251298,171.670791748743
