age,SST
767.38,27.50473197
770.15,27.40006557
772.92,28.55535681
775.69,29.26891426
778.46,28.90975366
781.23,28.86434187
784,27.92559021
786.8,27.05718422
789.6,27.30079305
792.4,27.66952516
795.2,27.36545107
802.68,26.77067419
805.04,27.07097871
807.41,26.39464885
812.61,27.66933051
814.98,28.19531379
817.34,28.49712597
819.71,28.78580025
823.11,28.67247172
830.66,27.98564245
837.17,27.8148219
839.53,27.79689383
841.89,28.03984086
844.24,27.67432192
846.6,28.36845771
848.96,27.47002807
851.31,28.60974117
853.64,27.89017127
855.87,27.97055417
858.09,28.15419314
860.31,29.19770123
862.4,29.67951033
863.83,28.83317022
864.74,26.84634358
865.64,26.19552002
866.54,27.69750457
867.45,29.41795665
868.35,29.23006751
869.26,25.47072837
870.16,25.7492498
871.06,25.63331193
871.97,25.95634745
872.87,26.40494976
873.78,25.67258189
874.84,25.67137918
876.53,25.3534191
878.22,25.16976911
879.91,25.9783975
881.6,25.51543659
885.74,26.33570666
889.88,27.51455667
894.02,27.75108053
898.16,27.99027964
902.3,27.42427492
909,27.57648506
912.25,27.58675375
915.5,27.01992225
918.75,26.41882415
922,25.07756552
923.88,25.32361521
925.75,25.11706557
927.63,25.52176684
929.5,27.28824592
931.38,28.39631057
933.25,28.57949092
935.12,28.2672258
937,29.14687723
938.88,28.12386238
940.75,27.67717794
942.63,28.21982422
944.5,27.74143966
946.38,29.07488431
948.25,29.85881405
950.13,30.05755992
952,29.82325145
954.6,29.72742906
957.2,28.90926879
959.85,28.46107349
962.51,28.34656078
965.16,28.61307105
967.81,28.96708819
970.33,29.09649591
971.6,29.4485854
972.87,28.60287058
974.14,29.29107706
981.04,29.06674546
996.4,28.75028556
996.98,28.67487761
997.57,28.84533618
998.15,28.51393416
998.73,28.64118227
999.32,28.74765417
999.9,27.99398212
1002.72,28.25087862
1005.54,28.03777146
1008.36,28.35941833
1011.18,27.8293549
1014,27.98428695
1016.68,27.36228822
1019.37,29.01110405
1022.05,29.13738499
1024.73,28.98027828
1027.42,29.39259677
1030.1,28.29701133
1032.22,28.28303279
1034.35,28.32318015
