age,GMST
0.792,-4.53
0.793,-5.36
0.794,-6.48
0.795,-6.80
0.796,-7.04
0.797,-6.93
0.798,-6.36
0.799,-6.75
0.8,-6.59
0.801,-7.17
0.802,-6.84
0.803,-6.84
0.804,-6.73
0.805,-6.93
0.806,-6.82
0.807,-6.59
0.808,-6.33
0.809,-6.17
0.81,-5.40
0.811,-4.72
0.812,-4.50
0.813,-4.49
0.814,-4.33
0.815,-4.27
0.816,-4.21
0.817,-4.19
0.818,-4.11
0.819,-3.80
0.82,-3.48
0.821,-3.37
0.822,-3.18
0.823,-3.09
0.824,-3.13
0.825,-3.22
0.826,-3.30
0.827,-3.27
0.828,-3.43
0.829,-3.43
0.83,-3.50
0.831,-3.19
0.832,-3.16
0.833,-2.85
0.834,-2.69
0.835,-2.73
0.836,-2.62
0.837,-2.65
0.838,-2.55
0.839,-2.50
0.84,-2.38
0.841,-2.17
0.842,-1.84
0.843,-1.80
0.844,-1.51
0.845,-1.50
0.846,-1.51
0.847,-1.57
0.848,-1.63
0.849,-1.78
0.85,-1.87
0.851,-2.34
0.852,-2.19
0.853,-1.86
0.854,-1.58
0.855,-1.34
0.856,-1.28
0.857,-1.07
0.858,-1.04
0.859,-1.17
0.86,-1.21
0.861,-1.63
0.862,-2.19
0.863,-2.67
0.864,-3.18
0.865,-3.87
0.866,-4.22
0.867,-4.71
0.868,-4.73
0.869,-5.08
0.87,-5.18
0.871,-5.46
0.872,-5.71
0.873,-5.73
0.874,-5.83
0.875,-5.61
0.876,-5.57
0.877,-5.50
0.878,-5.33
0.879,-5.77
0.88,-5.89
0.881,-6.45
0.882,-6.24
0.883,-6.33
0.884,-6.41
0.885,-6.57
0.886,-6.52
0.887,-6.17
0.888,-6.35
0.889,-5.88
0.89,-5.69
0.891,-5.24
0.892,-5.15
0.893,-5.07
0.894,-4.96
0.895,-4.89
0.896,-4.92
0.897,-4.88
0.898,-4.80
0.899,-4.56
0.9,-4.51
0.901,-4.26
0.902,-4.17
0.903,-3.86
0.904,-3.72
0.905,-3.74
0.906,-3.70
0.907,-3.73
0.908,-3.64
0.909,-3.59
0.91,-3.51
0.911,-3.36
0.912,-3.59
0.913,-3.88
0.914,-3.89
0.915,-4.15
0.916,-4.55
0.917,-5.07
0.918,-5.24
0.919,-5.53
0.92,-5.67
0.921,-5.94
0.922,-6.10
0.923,-6.04
0.924,-5.94
0.925,-5.71
0.926,-5.56
0.927,-5.68
0.928,-5.59
0.929,-5.39
0.93,-5.07
0.931,-4.96
0.932,-4.68
0.933,-4.15
0.934,-3.76
0.935,-3.65
0.936,-3.55
0.937,-3.41
0.938,-3.17
0.939,-2.94
0.94,-3.08
0.941,-2.96
0.942,-2.68
0.943,-2.36
0.944,-2.23
0.945,-2.00
0.946,-1.85
0.947,-1.59
0.948,-1.50
0.949,-1.31
0.95,-1.03
0.951,-0.97
0.952,-0.99
0.953,-0.95
0.954,-1.03
0.955,-1.05
0.956,-1.11
0.957,-1.38
0.958,-1.61
0.959,-1.53
0.96,-1.56
0.961,-1.85
0.962,-1.99
0.963,-2.25
0.964,-2.57
0.965,-2.67
0.966,-2.66
0.967,-2.64
0.968,-2.91
0.969,-2.99
0.97,-2.77
0.971,-2.64
0.972,-2.41
0.973,-2.56
0.974,-2.57
0.975,-2.51
0.976,-2.52
0.977,-2.37
0.978,-2.34
0.979,-2.34
0.98,-2.52
0.981,-2.63
0.982,-2.83
0.983,-3.24
0.984,-3.21
0.985,-3.20
0.986,-3.22
0.987,-3.17
0.988,-2.92
0.989,-2.80
0.99,-2.89
0.991,-2.95
0.992,-2.74
0.993,-2.62
0.994,-2.26
0.995,-2.12
0.996,-1.89
0.997,-1.84
