period,Age,CO2,higher,lower,author
IG,121.79,340.56,59.04,53.22,chalk
IG,121.79,330.07,66.55,66.55,dyez
IG,121.79,331.35,30.16,28.43,sosdian
IG,122.3,271,20,20,Foster
IG,123.2,303.17,35.89,35.89,dyez
IG,123.23,317.84,26.73,26.73,hoenisch
IG,123.77,283.84,41.65,38.83,chalk
IG,123.77,260.6,51.94,51.94,dyez
IG,123.77,267.19,23.67,21.98,sosdian
IG,124.37,266.8,48.21,42.85,chalk
IG,124.37,291.79,36.34,36.34,dyez
IG,124.37,281.18,24.67,23.06,sosdian
IG,127.48,273.43,40.56,37.45,chalk
IG,127.48,283.64,38.89,38.89,dyez
IG,127.48,271.51,26.21,23.28,sosdian
IG,128.06,279.3,22.82,22.82,hoenisch
IG,128.1,270.47,30.69,30.69,dyez
IG,128.4,330.1,26.73,26.73,hoenisch
IG,191.68,223.95,35.58,33.51,chalk
IG,191.68,235.53,34.1,34.1,dyez
IG,191.68,223.81,20.95,19.83,sosdian
IG,198.07,249.58,37.63,35.6,chalk
IG,198.07,260.62,33.64,33.64,dyez
IG,198.07,246.23,22.47,21.83,sosdian
IG,211.57,280.05,42.08,39.99,chalk
IG,211.57,291.69,39.75,39.75,dyez
IG,211.57,274.42,27.41,24.92,sosdian
IG,220.44,261.44,39.6,35.7,chalk
IG,220.44,276.98,35.61,35.61,dyez
IG,220.44,261.03,24.35,22.29,sosdian
IG,223.66,259.58,41.29,37.83,chalk
IG,223.66,276.89,41.8,41.8,dyez
IG,223.66,259.32,27.23,24.37,sosdian
IG,227.1,232.91,36.98,34.28,chalk
IG,227.1,248.75,36.21,36.21,dyez
IG,227.1,232.53,22.18,21.19,sosdian
IG,235.76,263.58,40.94,39.08,chalk
IG,235.76,275.28,39.02,39.02,dyez
IG,235.76,259.56,26.1,23.77,sosdian
IG,239.48,243.18,37.88,35.23,chalk
IG,239.48,254.64,35.11,35.11,dyez
IG,239.48,242.21,23.06,21.25,sosdian
IG,242.9,278.57,42.8,38.62,chalk
IG,242.9,292.99,41.88,41.88,dyez
IG,242.9,274.68,27.82,25.8,sosdian
IG,317.44,314.1,24.58,24.58,hoenisch
IG,329.1,296.87,36.16,36.16,dyez
